idx,class,conversation
3950,일반,"오늘 날씨 진짜 좋다. 그치? 하늘도 맑고.? 응, 또 어디 놀러 가고 싶어지네.? 주말에 근처 공원이라도 갈까? 오, 참 좋은 생각이야! 도시락 싸 갈까?? ㅋㅋ 당연하지! 내가 김밥 쌀게. 헐, 대박! 그럼 난 샌드위치 담당."
3951,일반,"점심 뭐 먹을래?. 글쎄.... 어제 치킨 먹어서 오늘은 좀 담백한 거. 그럼 파스타 어때? 근처에 맛집 생겼던데. 오, 좋아! 거기 가보자. 몇 시에 나갈까?. 12시 반쯤? 사람 좀 푹 빠질 때. 알았어, 그때 맞춰서 음식 준비할게."
3952,일반,"요즘 뭐 이렇게 재미있는 드라마 있어? 아, 나 새로 시작한 거 있는데. 완전 내 스타일이야. 진짜? 뭔데? 제목이'일상의 발견'인데, 잔잔하고 힐링돼. 오, 나 그런 거 좋아하는데. 오늘은 집 가서 바로 봐야겠다. ㅋㅋ 꼭 봐! 후회 안 했으면 꼭 봐야 할 걸."
3953,일반,"주말에 뭐라고 했어? 친구들 만나서 영화 봤어. 너는? 나는 집에서 뒹굴뒹굴. ㅋㅋ 그게 최고지. 무슨 영화를 봤는데? 요즘 유행하는 액션 영화!! 완전 스트레스 풀리더라. ㅋㅋ 아, 나도 그거 보고 싶었는데! 어땠어? 재밌었어?"
3954,일반,"퇴근하고 뭐 해? 바로 집에 가지. 너무 피곤해서... 그치, 나도. 집에 가서 저녁 먹고 쉬어야지. 오늘 저녁에 메뉴는 정했어? 음... 간단하게 김치찌개를 끓이려고. 와, 맛있겠다. 나도 김치찌개 먹고 자고 싶네."
3955,일반,"혹시 좋은 노래 있으면 노래 추천 좀 해줘. 요즘 듣는 밴드 인디 플레이리스트가 좀 지겨워서. 음... 요즘 인디 밴드 노래 좋은 거 많던데. 오, 너 어떤 밴드?'새벽산책'이라는 밴드 노래 들어봐. 목소리가 진짜 좋아. 알았어, 지금 바로 노래 들어볼게. 고마워!"
3956,일반,"고양이 너무 귀엽지 않아?? 완전. 나 요즘 고양이 영상만 보고 살아. ㅋㅋ 나도! 보고 있으면 시간이 가는 줄도 모르겠어. 나중에 꼭 한 마리 더 키우고 싶다. 맞아, 생각만 해도 행복하다."
3957,일반,"그나저나 오늘따라 커피가 엄청 땡기네. 피곤해서 그런가 봐. 나도. 오늘 점심 먹고 카페 갈래? 그럼 좋지! 새로 생긴 데 가볼까? 아니면 늘 자주 가던 데? 새로 생긴 데 궁금하다. 거기 가보자! 그래, 좋아."
3958,일반,"이번 휴가 때 뭐 할 거야? 계획 세웠어? 아직... 그냥 집에서 좀 푹 쉴까 생각 중. 그것도 좋지. 나는 친구랑 부산 가기로 했어.. 와, 부럽다! 조심히 잘 다녀와. 응, 가서 맛있는 거 그런 맛난 거 많이 먹고 올게."
3959,일반,"너 오늘 머리 잘랐네? ㅋㅋ 훨씬 깔끔하다.? ㅋㅋ 알아봐 줬네. 고마워. 잘 어울려. 어디서 잘랐어? 그냥 회사 근처 미용실. 괜찮지? 응, 나도 거기 가봐야겠다."
3960,일반,"오늘 저녁 약속이지? 응, 7시에 강남역. 약속 까먹은 거 아니지? 당연하지! 지금 출발하려고. 알았어. 그럼 조심히 와. 이따 봐! 응, 이따 봐 봐."
3961,일반,"너 요즘 운동 뭐 하는 거 있어? 나 필라테스 시작했어. 헐, 너 요가 진짜? 어때? 생각보다 엄청 힘든데 재밌어. 자세 교정되는 느낌? 와.... 나도 해볼까. 추천! 같이 다니자."
3962,일반,"이 옷 어때? 새로 산 건데. 오, 예쁘다! 너한테 완전 너무 잘 어울려. 진짜? 다행이다. ㅋㅋ 어디서 샀어? 인터넷 쇼핑몰에서.? 혹시 링크 보내줄까? 응, 보내줘!"
3963,일반,"오늘 회의가 너무 길지 않았어? 맞아, 진짜 지루해 죽는 줄. 끝나고 자고 나니까 기운이 하나도 없네. 그니까. 우리 맛있는 거 다 먹고 기운 내자. 오늘 뭐 먹을까? 매운 떡볶이는 어때? 스트레스 풀리게. 완전 콜!"
3964,일반,"아, 맞다. 너 생일이 다음 주 아니야? 헐, 너 어떻게 알았어? ㅋㅋ 달력에 미리 표시해 놨지. 뭐 갖고 싶은 거 뭐 있어?. 에이, 괜찮은데... 말만이라도 고마워. 말해봐, 내가 사줄게. 진짜? 음... 그럼 작은 화분?"
3965,일반,"웹툰 뭐 봐? 나 요즘에'가우스전자'다시 정주행 중. ㅋㅋ 아, 그거 진짜 웃기지. 레전드야. 너는? 나는'유미의 세포들'봐.. 헐,.. 나도 그거 인생 웹툰인데! 말이 통하네. 우리. 그치? ㅋㅋ"
3966,일반,"비 올 것 같아. 날씨가 엄청 흐리네. 우산 챙겼어? 아니, 안 챙겼는데... 어떡하지. 나 큰 거 있으니까 같이 우산 쓰고 같이 놀러 가자. 오, 고마워!! 넌 진짜 최고야. ㅋㅋ 뭘 이 정도 가지고."
3967,일반,"너, 어제 잠 잘 안 자고 잤어? 아니, 좀 설친 것 같아. 왜? 무슨 일 있었어? 그냥 생각이 좀 많아서. 커피라도 진하게 타 마셔야겠다. 너무 많이 타 마시지는 마. 속 쓰려. 알았어, 걱정해 줘서 고마워."
3968,일반,"근데 너 주말에 소개팅한다며! 잘 돼가? ㅋㅋ 어떻게 알았어? 그냥... 그저 그랬어. 아, 진짜? 근데 왜, 마음에 안 들었어? 응, 내 스타일은 아니더라고. 에이, 더 좋은 사람 나타날 거야. 힘내!!! 고마워."
3969,일반,오늘따라 유난히 피곤하네.. 월요일이라 그런가 봐. 월요병 제대로 왔다.. 그니까. 퇴근 시간만 기다리는 중. ㅋㅋ 우리 오늘 칼퇴할 수는 있을까? 제발... 그랬으면 좋겠다.
3970,일반,"새로 나온 핸드폰 봤어? 엄청 넘나 예쁘던데. 응, 봤어. 카메라 성능이 대박이라며? 맞아. 바꾸고 싶다 갑자기. ㅋㅋ 나도. 지금 쓰는 거 약정이 얼마나 남았지?. 난 아직 1년 남았어... 슬프다."
3971,일반,ㅋㅋ 너 MBTI 뭐야? 나? 나 INFP. ㅋㅋ 너는? 나는 ENFP! 우리 F 똑같다. ㅋㅋ 어쩐지 말이 잘 통하더라. ㅋㅋ 그치? 우리 감성적인 사람들. 인정. ㅋㅋ
3972,일반,"같이 여행 가면 사진 많이 찍는 편이야? 응, 완전. 남는 건 사진뿐이잖아. 나는 구경하느라 너무 정신없어서 사진을 진짜 잘 못 찍어. ㅋㅋ 내가 옆에서 많이 찍어줄게. 헐, 이거 진짜? 같이 여행 가자!"
3973,일반,"요즘 책 읽는 거 있어? 응, 히가시노 게이고 소설 읽고는 있어. 역시 추리소설이지. ㅋㅋ 너도 좋아해? 아, 그럼! 완전 팬이지. 책 다 읽으면 나도 빌려줘. 알았어."
3974,일반,"오늘 점심 뭐였어? 구내식당에서 제육볶음 나왔어. 와, 맛있었겠다. ㅋㅋ 우리는 원래 돈까스였는데. 오, 돈까스도 좋지! 서로 부러워하네. ㅋㅋ 그냥 그러게."
3975,일반,집에 가면 제일 먼저 뭐 해? ㅋㅋ 가방 던져놓고. 일단 침대에 누워. ㅋㅋ 완전 나랑 똑같다. 국룰이지 그건. 맞아. 5분만 누워있어야지 하다가 30분 순삭. 인정.. ㅋㅋ.
3976,일반,단발로 자를까 말까 너무 많이 고민돼. 갑자기 왜? 그냥 기분 전환 좀 하고 싶어서. 음... 너랑 단발도 잘 어울릴 것 같아. 진짜? 용기가 좀 생긴다. ㅋㅋ 소리 좀 질러봐!
3977,일반,"오늘따라 길이 엄청 많이 막히네. 아 그러게. 아무래도 평소보다 10분은 더 걸린 듯. 무슨 일 있나? 글쎄. 사고 났나? 아무튼 지각 안 해서 다행이다. 맞아, 아슬아슬했어."
3978,일반,"너 향수 뭐 써? 향기 좋다. 아, 이거? 선물 받은 건데. 이름이 뭐더라. 향이 은은하고 좋은데? 나도 이런 향 좋아해. 다 쓰면. 나도 이걸로 사봐야겠다. 이거 추천할게. 잔향이 훨씬 더 좋아."
