idx,class,conversation
1,일반 대화,"안녕하세요! 오늘 날씨 정말 좋네요.
네, 맞아요. 산책하기 딱 좋은 날씨예요.
점심 식사는 하셨어요?
아직이에요. 같이 드실래요?
좋아요! 뭐 드시고 싶으세요?
저는 파스타가 땡기네요.
그럼 이탈리안 레스토랑 갈까요?
좋아요. 12시 30분에 만나요.
네, 그때 봬요!"
2,일반 대화,"주말에 뭐 하셨어요?
영화 보고 카페에서 책 읽었어요.
무슨 영화 보셨어요?
새로 나온 액션 영화요. 재밌더라고요.
저도 보고 싶었는데! 추천하시나요?
네, 볼 만해요. 같이 보러 갈래요?
좋아요! 다음 주 토요일 어때요?
완벽해요. 시간은 오후 2시?
네, 그때 봐요!"
3,일반 대화,"커피 한잔 하실래요?
좋죠. 어디로 갈까요?
회사 근처에 새로 생긴 카페 가볼까요?
거기 분위기 좋던데요. 가요!
아메리카노 드실 거예요?
네, 아이스로 주세요.
저는 라떼로 할게요.
같이 케이크도 시킬까요?
좋아요. 치즈케이크 하나 시켜요."
4,일반 대화,"오늘 회의 잘 끝났어요?
네, 생각보다 순조로웠어요.
다행이네요. 보고서는 언제까지예요?
이번 주 금요일까지 제출하면 돼요.
시간이 좀 있네요. 천천히 하세요.
네, 감사합니다.
점심 메뉴 정했어요?
아직인데 같이 고민해 봐요.
좋아요!"
5,일반 대화,"요즘 운동 다니세요?
네, 헬스장 등록했어요.
저도 운동 시작하고 싶은데 추천해 주실래요?
우리 동네 헬스장 괜찮아요.
가격은 어느 정도 하나요?
한 달에 5만원 정도예요.
생각보다 저렴하네요!
시설도 깨끗하고 좋아요.
다음 주에 구경 가볼게요."
6,일반 대화,"저녁 뭐 먹을까요?
오늘은 한식 어때요?
좋아요. 김치찌개 생각나네요.
근처에 맛있는 집 알아요?
네, 지하철역 앞에 유명한 곳 있어요.
몇 시에 만날까요?
6시 30분 어때요?
좋아요. 거기서 봐요.
네, 조금 이따 봬요!"
7,일반 대화,"이번 여름휴가 계획 있어요?
제주도 가려고 해요.
좋네요! 며칠 동안 가세요?
3박 4일 정도요.
숙소는 예약하셨어요?
아직이에요. 추천해 주실 곳 있나요?
제가 갔던 펜션 정보 보내드릴게요.
감사합니다! 도움이 될 것 같아요.
즐거운 여행 되세요!"
8,일반 대화,"어제 드라마 봤어요?
네! 너무 재밌더라고요.
다음 편이 기대돼요.
저도요. 결말이 어떻게 날지 궁금해요.
주인공 연기 정말 잘하더라고요.
맞아요. 몰입도가 장난 아니에요.
다음 주가 벌써 기다려져요.
저도요! 같이 이야기해요.
좋아요!"
9,일반 대화,"반가워요! 오랜만이에요.
정말 오랜만이네요. 잘 지내셨어요?
네, 잘 지냈어요. 요즘 어떻게 지내세요?
바쁘게 지내고 있어요.
일은 잘 되시나요?
네, 덕분에 잘하고 있어요.
다행이네요. 조만간 식사 한번 해요.
좋아요. 연락드릴게요.
네, 기다릴게요!"
10,일반 대화,"이 근처에 문구점 있나요?
네, 저기 모퉁이 돌면 있어요.
감사합니다. 영업시간 아세요?
저녁 8시까지 한대요.
충분하네요. 고맙습니다.
천만에요. 찾는 거 있으세요?
볼펜이랑 노트 사려고요.
거기 종류 많아요. 잘 골라보세요.
네, 감사합니다!"
11,일반 대화,"주말에 등산 가실래요?
좋아요! 어디로 갈까요?
북한산 어때요?
좋죠. 몇 시에 출발할까요?
아침 8시는 어때요?
좀 일찍 일어나야겠네요.
그래야 사람 적을 때 올라갈 수 있어요.
맞아요. 준비물은 뭐가 필요할까요?
물이랑 간식 정도면 돼요.
알겠어요. 그때 봐요!"
12,일반 대화,"오늘 점심 메뉴 뭐예요?
오늘은 된장찌개예요.
반찬은 뭐가 나와요?
김치, 나물, 생선이요.
맛있겠네요!
같이 드실래요?
네, 좋아요.
그럼 식당에서 봐요.
네, 이따 봬요!"
13,일반 대화,"요즘 읽는 책 있어요?
네, 추리소설 읽고 있어요.
재밌어요?
네, 몰입감이 좋아요.
제목이 뭐예요?
'겨울 나그네'예요.
저도 찾아볼게요.
추천해요! 읽어보세요.
감사합니다!"
14,일반 대화,"커피숍 와이파이 비밀번호 아세요?
네, 저기 카운터에 적혀 있어요.
감사합니다. 찾았어요.
잘 됐네요.
여기 조용해서 공부하기 좋네요.
네, 저도 자주 와요.
음료는 다 괜찮아요?
네, 라떼가 특히 맛있어요.
그럼 저도 라떼 마셔봐야겠어요."
15,일반 대화,"내일 날씨 어떨까요?
일기예보에서 맑다고 했어요.
빨래하기 좋겠네요.
네, 저도 빨래할 계획이에요.
오후에 바람 많이 분대요.
그럼 아침에 널어야겠어요.
맞아요. 일찍 하는 게 좋겠어요.
알려주셔서 감사해요.
천만에요!"
16,일반 대화,"강아지 키우시나요?
네, 푸들 키워요.
귀엽겠어요! 이름이 뭐예요?
코코예요. 3살이에요.
산책은 자주 시키세요?
하루에 두 번 나가요.
강아지 키우기 힘들지 않아요?
처음엔 힘들었는데 이제 익숙해요.
저도 키워보고 싶네요."
17,일반 대화,"이번 주 금요일에 시간 있으세요?
네, 있어요. 무슨 일이세요?
같이 저녁 먹을까 해서요.
좋아요! 뭐 드실래요?
고기 어때요?
완벽해요. 장소는 정하셨어요?
강남역 근처로 할까요?
좋아요. 7시에 만나요.
네, 그때 봬요!"
18,일반 대화,"요즘 배우는 거 있어요?
기타 배우고 있어요.
멋있네요! 얼마나 배우셨어요?
한 달 정도 됐어요.
많이 늘었겠어요.
기초는 어느 정도 잡혔어요.
계속 하실 거예요?
네, 재밌어서 계속할 생각이에요.
응원할게요!"
19,일반 대화,"마트 가시는 길이에요?
네, 장 보러 가요.
저도 가는데 같이 갈까요?
좋아요! 뭐 사실 거예요?
과일이랑 야채 좀 사려고요.
저는 생필품 사야 해요.
그럼 같이 가요.
장바구니 가져오셨어요?
네, 챙겼어요."
20,일반 대화,"새로 생긴 베이커리 가봤어요?
아직 못 가봤어요. 어때요?
빵이 정말 맛있어요!
어떤 빵이 제일 맛있어요?
소금빵이 진짜 맛있어요.
오늘 퇴근길에 가봐야겠어요.
일찍 가세요. 금방 품절돼요.
좋은 정보 감사해요!
천만에요."
21,일반 대화,"택배 받으셨어요?
네, 아까 받았어요.
제 택배도 왔나 확인해 주실래요?
잠깐만요. 확인해 볼게요.
성함이 어떻게 되세요?
김민수예요.
아, 여기 있네요!
감사합니다. 받아갈게요.
네, 여기 있어요."
22,일반 대화,"자전거 타실 줄 아세요?
네, 어릴 때 배웠어요.
주말에 한강 라이딩 갈래요?
좋아요! 자전거는 어떻게 하죠?
대여소에서 빌릴 수 있어요.
몇 시에 만날까요?
오전 10시 어때요?
좋아요. 날씨 좋으면 가요.
네, 그때 봬요!"
23,일반 대화,"오늘 저녁 뭐 해 드실 거예요?
김치볶음밥 만들려고요.
간단하고 좋네요!
재료도 간단하고 빨라요.
저는 요리를 못해서 부러워요.
쉬운 것부터 해보세요.
레시피 좀 가르쳐 주실래요?
물론이죠. 알려드릴게요.
감사합니다!"
24,일반 대화,"사진 잘 나왔어요!
그래요? 다행이네요.
어디서 찍었어요?
경복궁에서 찍었어요.
배경이 정말 이쁘네요.
날씨도 좋고 완벽했어요.
저도 가보고 싶어요.
다음에 같이 가요!
좋아요!"
25,일반 대화,"음악 뭐 들으세요?
요즘 재즈 듣고 있어요.
저도 재즈 좋아해요!
취향이 비슷하네요.
추천할 만한 곡 있어요?
빌 에반스 들어보세요.
찾아서 들어볼게요.
마음에 드실 거예요.
기대할게요!"
26,일반 대화,"밖에 비 오나요?
네, 조금 오기 시작했어요.
우산 가져왔나요?
아니요. 안 가져왔어요.
제 우산 같이 쓰실래요?
괜찮아요. 편의점에서 살게요.
같이 쓰세요. 괜찮아요.
그럼 감사히 쓸게요.
천만에요."
