idx,class,conversation
3950,일반,"오늘 날씨 진짜. 그치? 하늘도 맑고. 응, 어디 놀러 가고 싶어지네. 주말에 근처 공원이라도 갈까? 오, 좋은 생각이야! 도시락 사서 갈까? 그건 당연하지! 내가 김밥 쌀게. 헐, 대박! 그럼 난 김밥 담당."
3951,일반,"점심 뭐 먹을래? 글쎄... 어제 치킨 먹어서 오늘은 좀 담백한 거. 그럼 파스타 어때? 근처에 맛집 생겼던데. 너무 좋아! 거기 가보자. 몇 시에? 12시 반쯤? 사람 좀 빠질 줄 알았어, 그때부터 준비할게."
3952,일반,"요즘 뭐 재미있는 드라마 있어? 아, 나 새로 시작한 거 있는데 완전 내 스타일이야. 진짜? 뭔데? 제목이'일상의 발견'인데, 완전 힐링돼. 근데 난 그런 거 좋아하는데. 오늘 집 가서 바로 봐야겠다. ㅋㅋ 꼭. 후회 안 할게"
3953,일반,주말에 뭐 했어? 친구 만나서 영화 보고 ㅋㅋ 난 집에서 뒹굴뒹굴. ㅋㅋ 그게 최고지. 무슨 영화 봤는데? 요즘 유행하는 그런 영화! 완전 스트레스 풀리더라. ㅋㅋ 나도 그거 보고 싶었는데! 어땠어? 재밌었어?
3954,일반,"퇴근하고 뭐. 바로 집에 가지. 피곤해서... 그치, 나도. 집에 가서 저녁 먹고. 오늘 저녁을 정했어? 음... 간단하게 김치찌개 끓이려고. 와, 맛있겠다.. 김치찌개 먹고 싶네."
3955,일반,"혹시 좋은 노래 있으면 추천 좀 해줘. 요즘 듣는 플레이리스트가 너무 지겨워서. 음... 요즘 인디 밴드 노래 좋은 거 많던데. 오, 인디 밴드?'새벽산책'이라는 밴드 노래 들어봐. 노래 진짜 좋아. 그럼 지금 바로 들어볼게. 고마워!"
3956,일반,"고양이 너무 귀엽지 않아? 완전. ㅋㅋㅋ 요즘 고양이 영상만 보고 살아. ㅋㅋ 나도! 가만히 있으면 시간 가는 줄 모르겠어. 나중에 꼭 한 마리 키우고. 맞아, 안 해도 행복하다."
3957,일반,"오늘따라 커피 엄청 땡기네. 피곤해서 그런가 봐. 나도. 점심 먹고 카페 갈래? 좋지! 새로 생긴 데 가볼까? 아니면 늘 가던 데? 새로 생긴 데 궁금하다. 거기? 그래, 좋아."
3958,일반,"이번 휴가 때 뭐 할 거야? 계획 세웠어? 아직... 그냥 좀 푹 쉴까 생각 중. 그것도 좋지. 나는 친구랑 부산 가기로. 와, 부럽다! 조심히. 응, 그럼 맛있는 거 많이 먹고 올게."
3959,일반,"너도 잘랐네? 훨씬 깔끔하다. ㅋㅋ 알아봐. 고마워. 잘 어울려. 어디서 잘랐어? 그냥 회사. 미용실. 괜찮지? 응, 나도 거기 가봐야겠다."
3960,일반,"오늘 저녁 약속이지? 응, 7시에 약속한 거. 당연하지! 지금 출발하려고. 알았어. 조심히 와. 이따 봐! 응, 이따 봐."
3961,일반,"요즘은 뭐 하는 거 있어? 나 필라테스 시작했어. 헐, 진짜? 어때? 생각보다 엄청. 재밌어. 자세 교정되는 거 와... 나도 해볼까. 추천! 같이 다니자."
3962,일반,"이 옷 어때? 새로 산 거 오, 예쁘다! 너한테도 잘 어울려. 참 다행이다. ㅋㅋ 어디서 샀어? 인터넷 쇼핑몰에서. 링크 보내줄까? 응, 보내줘!"
3963,일반,"오늘은 너무 길지 않았어? 맞아, 진짜. 죽는 줄. 끝나고 나니까 기운이 하나도. 그니까. 우리 매운 거 먹고 기운 내자. 뭐 먹을까? 매운 떡볶이 어때? 스트레스 풀리게. 완전 콜!"
3964,일반,"아, 맞다. 너 생일 다음 주 아니야? 헐, 어떻게? 그냥 달력에 표시해 놨지. 뭐 갖고 싶은 거? 에이, 괜찮은데... 말만이라도 고마워. 말해봐, 내가 사줄게. 진짜?. 그럼 무슨 화분?"
3965,일반,"웹툰 뭐 봐? 나 요즘'가우스전자'다시 정주행? ㅋㅋ 근데 그거 진짜 웃기지. 레전드야. 너는? 나는'유미의 세포들'봐. 헐, 나 그거 인생 웹툰인데! 다 통하네. 우리. 그치? ㅋㅋ"
3966,일반,"비 올 것 같아. 날씨가 엄청 흐리네. 우산 챙겼어? 아니, 안 챙겼는데... 어떡하지. 나 이런 거랑 같이 쓰고 가자. 오, 고마워! 넌 진짜. ㅋㅋ 뭘 이 정도 가지고."
3967,일반,"어제 잠 안 잤어? 아니, 좀 쉰 것 같아. 왜? 무슨 일인지 그냥 생각이 좀 나서 커피라도 진하게 타 마셔야겠다. 너무 많이 마시지는 마. 속 쓰려. 알았어, 걱정해 줘서 고마워."
3968,일반,"너 주말에 소개팅한다며!! ㅋㅋ 어떻게 알았어? 그냥... 그저 그랬어. 아, 진짜? 진짜 마음에 안 들었어? 응, 내 스타일은 아니더라고. 에이, 더 좋은 사람 될 거야. 힘내! 고마워."
3969,일반,오늘따라 유난히 피곤하네. 월요일이라 그런가 봐. 월요병 제대로 왔다. 그니까. 이 시간만 기다리는 중. ㅋㅋ 우리가 칼퇴할 수 있을까? 제발.... 좋겠다.
3970,일반,"새로 나온 핸드폰 봤어? 엄청. 응, 봤어. 카메라가 대박이라며? 맞아. 바꾸고 싶다 갑자기. ㅋㅋ 나도. 지금. 핸드폰 약정 얼마나 남았지? 난 아직 1년 남았어... 슬프다."
3971,일반,너 MBTI 뭐야? 나? 나 INFP. 너는? 나 ENFP! 우리 F 똑같다. 어쩐지 말이 안 통하더라. 아 그치? 우리 감성적인 사람들. 인정. ㅋㅋ
