idx,class,conversation
3950,일반,"오늘 날씨 진짜 좋다. 그치? 하늘도 맑고. 응, 어디 놀러 가고 싶어지네. 주말에 근처 공원이라도 갈까? 오, 좋은 생각이야! 도시락 싸 갈까? ㅋㅋ 당연하지! 내가 김밥 쌀게. 헐, 대박! 그럼 난 샌드위치 담당."
3951,일반,"점심 뭐 먹을래? 글쎄... 어제 치킨 먹어서 오늘은 좀 담백한 거. 그럼 파스타 어때? 근처에 맛집 생겼던데. 오, 좋아! 거기 가보자. 몇 시에 나갈까? 12시 반쯤? 사람 좀 빠질 때. 알았어, 그때 맞춰서 준비할게."
3952,일반,"요즘 뭐 재미있는 드라마 있어? 아, 나 새로 시작한 거 있는데 완전 내 스타일이야. 진짜? 뭔데? 제목이 '일상의 발견'인데, 잔잔하고 힐링돼. 오, 나 그런 거 좋아하는데. 오늘 집 가서 바로 봐야겠다. ㅋㅋ 꼭 봐! 후회 안 할 걸."
3953,일반,"주말에 뭐 했어? 친구 만나서 영화 봤어. 너는? 나는 집에서 뒹굴뒹굴. ㅋㅋ 그게 최고지. 무슨 영화 봤는데? 요즘 유행하는 액션 영화! 완전 스트레스 풀리더라. 아, 나도 그거 보고 싶었는데! 어땠어? 재밌었어?"
3954,일반,"퇴근하고 뭐 해? 바로 집에 가지. 피곤해서... 그치, 나도. 집에 가서 저녁 먹고 쉬어야지. 오늘 저녁 메뉴는 정했어? 음... 간단하게 김치찌개 끓이려고. 와, 맛있겠다. 나도 김치찌개 먹고 싶네."
3955,일반,"혹시 좋은 노래 있으면 추천 좀 해줘. 요즘 듣는 플레이리스트가 좀 지겨워서. 음... 요즘 인디 밴드 노래 좋은 거 많던데. 오, 어떤 밴드? '새벽산책'이라는 밴드 노래 들어봐. 목소리가 진짜 좋아. 알았어, 지금 바로 들어볼게. 고마워!"
3956,일반,"고양이 너무 귀엽지 않아? 완전. 나 요즘 고양이 영상만 보고 살아. ㅋㅋ 나도! 보고 있으면 시간 가는 줄 모르겠어. 나중에 꼭 한 마리 키우고 싶다. 맞아, 생각만 해도 행복하다."
3957,일반,"오늘따라 커피가 엄청 땡기네. 피곤해서 그런가 봐. 나도. 점심 먹고 카페 갈래? 좋지! 새로 생긴 데 가볼까? 아니면 늘 가던 데? 새로 생긴 데 궁금하다. 거기 가보자! 그래, 좋아."
3958,일반,"이번 휴가 때 뭐 할 거야? 계획 세웠어? 아직... 그냥 집에서 푹 쉴까 생각 중. 그것도 좋지. 나는 친구랑 부산 가기로 했어. 와, 부럽다! 조심히 잘 다녀와. 응, 가서 맛있는 거 많이 먹고 올게."
3959,일반,"너 머리 잘랐네? 훨씬 깔끔하다. ㅋㅋ 알아봐 줬네. 고마워. 잘 어울려. 어디서 잘랐어? 그냥 회사 근처 미용실. 괜찮지? 응, 나도 거기 가봐야겠다."
3960,일반,"오늘 저녁 약속이지? 응, 7시에 강남역. 까먹은 거 아니지? 당연하지! 지금 출발하려고. 알았어. 조심히 와. 이따 봐! 응, 이따 봐."
3961,일반,"요즘 운동 뭐 하는 거 있어? 나 필라테스 시작했어. 헐, 진짜? 어때? 생각보다 엄청 힘든데 재밌어. 자세 교정되는 느낌? 와... 나도 해볼까. 추천! 같이 다니자."
3962,일반,"이 옷 어때? 새로 산 건데. 오, 예쁘다! 너한테 완전 잘 어울려. 진짜? 다행이다. ㅋㅋ 어디서 샀어? 인터넷 쇼핑몰에서. 링크 보내줄까? 응, 보내줘!"
