id,conversation
g_001,야 커피 얘기 좀 하자ㅋㅋ 응 완전 좋더라ㅋㅋ 시간 나면 놀자! 좋아 나도 심심했어 주말에 보자! 좋아 기대된다ㅋㅋ
g_002,야 학교 얘기 좀 하자ㅋㅋ ㅋㅋ 대박이지 사진 찍으러 갈까? 오케이 몇 시에? 카톡 줘 일정 맞춰보자 좋아 기대된다ㅋㅋ
g_003,야 식사 얘기 좀 하자ㅋㅋ ㅋㅋ 대박이지 근처 카페 갈래? 좋아 나도 심심했어 오늘 저녁 어때? 그럼 연락하자~
g_004,야 커피 얘기 좀 하자ㅋㅋ 응 완전 좋더라ㅋㅋ 근처 카페 갈래? 좋지 요즘 너무 바빴는데 딱이야 주말에 보자! 오랜만이라 좋다!
g_005,야 책 얘기 좀 하자ㅋㅋ 맞아 나도 그렇게 생각해 근처 카페 갈래? 좋지 요즘 너무 바빴는데 딱이야 주말에 보자! 좋아 기대된다ㅋㅋ
g_006,야 커피 얘기 좀 하자ㅋㅋ 응 완전 좋더라ㅋㅋ 근처 카페 갈래? 콜ㅋㅋ 주말에 보자! 좋아 기대된다ㅋㅋ
g_007,야 가족 얘기 좀 하자ㅋㅋ 그치 요즘 진짜 좋지 사진 찍으러 갈까? 좋지 요즘 너무 바빴는데 딱이야 주말에 보자! 좋아 기대된다ㅋㅋ
g_008,야 사진 얘기 좀 하자ㅋㅋ 맞아 나도 그렇게 생각해 사진 찍으러 갈까? 콜ㅋㅋ 그럼 내일 보자~ 알았어 기다릴게!
g_009,야 날씨 얘기 좀 하자ㅋㅋ ㅋㅋ 대박이지 같이 보러 가자 좋지 요즘 너무 바빴는데 딱이야 주말에 보자! 오랜만이라 좋다!
g_010,야 패션 얘기 좀 하자ㅋㅋ 맞아 나도 그렇게 생각해 같이 보러 가자 좋아 나도 심심했어 그럼 내일 보자~ 오랜만이라 좋다!
g_011,야 휴대폰 얘기 좀 하자ㅋㅋ ㅋㅋ 대박이지 같이 보러 가자 좋지 요즘 너무 바빴는데 딱이야 주말에 보자! 오랜만이라 좋다!
g_012,야 여행 얘기 좀 하자ㅋㅋ 응 완전 좋더라ㅋㅋ 시간 나면 놀자! 좋아 나도 심심했어 카톡 줘 일정 맞춰보자 그럼 연락하자~
g_013,야 여행 얘기 좀 하자ㅋㅋ 맞아 나도 그렇게 생각해 사진 찍으러 갈까? 좋아 나도 심심했어 카톡 줘 일정 맞춰보자 오랜만이라 좋다!
g_014,야 커피 얘기 좀 하자ㅋㅋ ㅋㅋ 대박이지 같이 보러 가자 좋지 요즘 너무 바빴는데 딱이야 카톡 줘 일정 맞춰보자 그럼 연락하자~
g_015,야 가족 얘기 좀 하자ㅋㅋ 응 완전 좋더라ㅋㅋ 같이 보러 가자 오케이 몇 시에? 그럼 내일 보자~ 알았어 기다릴게!
g_016,야 게임 얘기 좀 하자ㅋㅋ ㅋㅋ 대박이지 근처 카페 갈래? 좋아 나도 심심했어 주말에 보자! 오랜만이라 좋다!
g_017,야 사진 얘기 좀 하자ㅋㅋ ㅋㅋ 대박이지 시간 나면 놀자! 좋아 나도 심심했어 주말에 보자! 그럼 연락하자~
g_018,야 여행 얘기 좀 하자ㅋㅋ 맞아 나도 그렇게 생각해 시간 나면 놀자! 콜ㅋㅋ 카톡 줘 일정 맞춰보자 오랜만이라 좋다!
g_019,야 드라마 얘기 좀 하자ㅋㅋ 맞아 나도 그렇게 생각해 사진 찍으러 갈까? 오케이 몇 시에? 그럼 내일 보자~ 오랜만이라 좋다!
g_020,야 음악 얘기 좀 하자ㅋㅋ 맞아 나도 그렇게 생각해 시간 나면 놀자! 콜ㅋㅋ 카톡 줘 일정 맞춰보자 좋아 기대된다ㅋㅋ
g_021,야 음악 얘기 좀 하자ㅋㅋ ㅋㅋ 대박이지 같이 보러 가자 좋지 요즘 너무 바빴는데 딱이야 카톡 줘 일정 맞춰보자 좋아 기대된다ㅋㅋ
g_022,야 커피 얘기 좀 하자ㅋㅋ 그치 요즘 진짜 좋지 근처 카페 갈래? 콜ㅋㅋ 주말에 보자! 좋아 기대된다ㅋㅋ
g_023,야 음악 얘기 좀 하자ㅋㅋ ㅋㅋ 대박이지 시간 나면 놀자! 콜ㅋㅋ 그럼 내일 보자~ 좋아 기대된다ㅋㅋ
g_024,야 음악 얘기 좀 하자ㅋㅋ 맞아 나도 그렇게 생각해 사진 찍으러 갈까? 콜ㅋㅋ 오늘 저녁 어때? 오랜만이라 좋다!
g_025,야 운동 얘기 좀 하자ㅋㅋ 맞아 나도 그렇게 생각해 시간 나면 놀자! 좋아 나도 심심했어 오늘 저녁 어때? 그럼 연락하자~
g_026,야 커피 얘기 좀 하자ㅋㅋ 응 완전 좋더라ㅋㅋ 시간 나면 놀자! 콜ㅋㅋ 그럼 내일 보자~ 그럼 연락하자~
g_027,야 식사 얘기 좀 하자ㅋㅋ 응 완전 좋더라ㅋㅋ 시간 나면 놀자! 콜ㅋㅋ 카톡 줘 일정 맞춰보자 오랜만이라 좋다!
g_028,야 사진 얘기 좀 하자ㅋㅋ 맞아 나도 그렇게 생각해 시간 나면 놀자! 콜ㅋㅋ 오늘 저녁 어때? 그럼 연락하자~
g_029,야 여행 얘기 좀 하자ㅋㅋ ㅋㅋ 대박이지 사진 찍으러 갈까? 오케이 몇 시에? 그럼 내일 보자~ 오랜만이라 좋다!
g_030,야 패션 얘기 좀 하자ㅋㅋ 그치 요즘 진짜 좋지 사진 찍으러 갈까? 좋지 요즘 너무 바빴는데 딱이야 카톡 줘 일정 맞춰보자 그럼 연락하자~
g_031,야 게임 얘기 좀 하자ㅋㅋ 응 완전 좋더라ㅋㅋ 근처 카페 갈래? 좋지 요즘 너무 바빴는데 딱이야 주말에 보자! 오랜만이라 좋다!
g_032,야 커피 얘기 좀 하자ㅋㅋ 응 완전 좋더라ㅋㅋ 근처 카페 갈래? 좋지 요즘 너무 바빴는데 딱이야 그럼 내일 보자~ 오랜만이라 좋다!
g_033,야 커피 얘기 좀 하자ㅋㅋ 응 완전 좋더라ㅋㅋ 사진 찍으러 갈까? 좋아 나도 심심했어 오늘 저녁 어때? 알았어 기다릴게!
g_034,야 취미 얘기 좀 하자ㅋㅋ 그치 요즘 진짜 좋지 근처 카페 갈래? 좋지 요즘 너무 바빴는데 딱이야 그럼 내일 보자~ 그럼 연락하자~
g_035,야 커피 얘기 좀 하자ㅋㅋ ㅋㅋ 대박이지 시간 나면 놀자! 콜ㅋㅋ 카톡 줘 일정 맞춰보자 알았어 기다릴게!
g_036,야 반려동물 얘기 좀 하자ㅋㅋ 맞아 나도 그렇게 생각해 사진 찍으러 갈까? 좋지 요즘 너무 바빴는데 딱이야 그럼 내일 보자~ 알았어 기다릴게!
g_037,야 책 얘기 좀 하자ㅋㅋ ㅋㅋ 대박이지 같이 보러 가자 좋지 요즘 너무 바빴는데 딱이야 주말에 보자! 좋아 기대된다ㅋㅋ
g_038,야 패션 얘기 좀 하자ㅋㅋ 응 완전 좋더라ㅋㅋ 시간 나면 놀자! 좋지 요즘 너무 바빴는데 딱이야 카톡 줘 일정 맞춰보자 그럼 연락하자~
g_039,야 공부 얘기 좀 하자ㅋㅋ ㅋㅋ 대박이지 같이 보러 가자 좋지 요즘 너무 바빴는데 딱이야 그럼 내일 보자~ 좋아 기대된다ㅋㅋ
g_040,야 영화 얘기 좀 하자ㅋㅋ ㅋㅋ 대박이지 사진 찍으러 갈까? 오케이 몇 시에? 주말에 보자! 오랜만이라 좋다!
g_041,야 학교 얘기 좀 하자ㅋㅋ 응 완전 좋더라ㅋㅋ 사진 찍으러 갈까? 좋지 요즘 너무 바빴는데 딱이야 주말에 보자! 알았어 기다릴게!
g_042,야 날씨 얘기 좀 하자ㅋㅋ ㅋㅋ 대박이지 근처 카페 갈래? 좋아 나도 심심했어 주말에 보자! 알았어 기다릴게!
g_043,야 영화 얘기 좀 하자ㅋㅋ 그치 요즘 진짜 좋지 같이 보러 가자 좋지 요즘 너무 바빴는데 딱이야 주말에 보자! 오랜만이라 좋다!
g_044,야 학교 얘기 좀 하자ㅋㅋ 맞아 나도 그렇게 생각해 같이 보러 가자 콜ㅋㅋ 주말에 보자! 오랜만이라 좋다!
g_045,야 여행 얘기 좀 하자ㅋㅋ ㅋㅋ 대박이지 같이 보러 가자 좋아 나도 심심했어 카톡 줘 일정 맞춰보자 그럼 연락하자~
g_046,야 드라마 얘기 좀 하자ㅋㅋ ㅋㅋ 대박이지 사진 찍으러 갈까? 오케이 몇 시에? 오늘 저녁 어때? 좋아 기대된다ㅋㅋ
g_047,야 학교 얘기 좀 하자ㅋㅋ ㅋㅋ 대박이지 시간 나면 놀자! 콜ㅋㅋ 오늘 저녁 어때? 오랜만이라 좋다!
g_048,야 여행 얘기 좀 하자ㅋㅋ 그치 요즘 진짜 좋지 사진 찍으러 갈까? 좋아 나도 심심했어 오늘 저녁 어때? 알았어 기다릴게!
g_049,야 산책 얘기 좀 하자ㅋㅋ 그치 요즘 진짜 좋지 사진 찍으러 갈까? 콜ㅋㅋ 그럼 내일 보자~ 좋아 기대된다ㅋㅋ
g_050,야 산책 얘기 좀 하자ㅋㅋ 응 완전 좋더라ㅋㅋ 사진 찍으러 갈까? 좋지 요즘 너무 바빴는데 딱이야 오늘 저녁 어때? 알았어 기다릴게!
g_051,야 운동 얘기 좀 하자ㅋㅋ 응 완전 좋더라ㅋㅋ 사진 찍으러 갈까? 좋아 나도 심심했어 오늘 저녁 어때? 오랜만이라 좋다!
g_052,야 여행 얘기 좀 하자ㅋㅋ 맞아 나도 그렇게 생각해 사진 찍으러 갈까? 오케이 몇 시에? 주말에 보자! 오랜만이라 좋다!
g_053,야 영화 얘기 좀 하자ㅋㅋ ㅋㅋ 대박이지 사진 찍으러 갈까? 콜ㅋㅋ 그럼 내일 보자~ 그럼 연락하자~
g_054,야 반려동물 얘기 좀 하자ㅋㅋ 그치 요즘 진짜 좋지 근처 카페 갈래? 오케이 몇 시에? 오늘 저녁 어때? 좋아 기대된다ㅋㅋ
g_055,야 산책 얘기 좀 하자ㅋㅋ 응 완전 좋더라ㅋㅋ 시간 나면 놀자! 좋아 나도 심심했어 오늘 저녁 어때? 그럼 연락하자~
g_056,야 커피 얘기 좀 하자ㅋㅋ 맞아 나도 그렇게 생각해 사진 찍으러 갈까? 오케이 몇 시에? 오늘 저녁 어때? 좋아 기대된다ㅋㅋ
g_057,야 게임 얘기 좀 하자ㅋㅋ 응 완전 좋더라ㅋㅋ 같이 보러 가자 오케이 몇 시에? 주말에 보자! 그럼 연락하자~
g_058,야 산책 얘기 좀 하자ㅋㅋ ㅋㅋ 대박이지 같이 보러 가자 콜ㅋㅋ 카톡 줘 일정 맞춰보자 좋아 기대된다ㅋㅋ
g_059,야 가족 얘기 좀 하자ㅋㅋ 응 완전 좋더라ㅋㅋ 시간 나면 놀자! 오케이 몇 시에? 그럼 내일 보자~ 오랜만이라 좋다!
g_060,야 가족 얘기 좀 하자ㅋㅋ 맞아 나도 그렇게 생각해 시간 나면 놀자! 좋아 나도 심심했어 주말에 보자! 좋아 기대된다ㅋㅋ
g_061,야 운동 얘기 좀 하자ㅋㅋ 맞아 나도 그렇게 생각해 시간 나면 놀자! 좋지 요즘 너무 바빴는데 딱이야 주말에 보자! 오랜만이라 좋다!
g_062,야 학교 얘기 좀 하자ㅋㅋ ㅋㅋ 대박이지 같이 보러 가자 오케이 몇 시에? 주말에 보자! 알았어 기다릴게!
g_063,야 학교 얘기 좀 하자ㅋㅋ 맞아 나도 그렇게 생각해 근처 카페 갈래? 좋지 요즘 너무 바빴는데 딱이야 오늘 저녁 어때? 그럼 연락하자~
g_064,야 식사 얘기 좀 하자ㅋㅋ 응 완전 좋더라ㅋㅋ 같이 보러 가자 좋지 요즘 너무 바빴는데 딱이야 주말에 보자! 좋아 기대된다ㅋㅋ
g_065,야 드라마 얘기 좀 하자ㅋㅋ 그치 요즘 진짜 좋지 근처 카페 갈래? 좋지 요즘 너무 바빴는데 딱이야 주말에 보자! 알았어 기다릴게!
g_066,야 휴대폰 얘기 좀 하자ㅋㅋ 응 완전 좋더라ㅋㅋ 근처 카페 갈래? 좋지 요즘 너무 바빴는데 딱이야 카톡 줘 일정 맞춰보자 그럼 연락하자~
g_067,야 책 얘기 좀 하자ㅋㅋ 그치 요즘 진짜 좋지 같이 보러 가자 좋지 요즘 너무 바빴는데 딱이야 카톡 줘 일정 맞춰보자 그럼 연락하자~
g_068,야 운동 얘기 좀 하자ㅋㅋ 응 완전 좋더라ㅋㅋ 근처 카페 갈래? 좋아 나도 심심했어 카톡 줘 일정 맞춰보자 그럼 연락하자~
g_069,야 여행 얘기 좀 하자ㅋㅋ 맞아 나도 그렇게 생각해 사진 찍으러 갈까? 오케이 몇 시에? 오늘 저녁 어때? 오랜만이라 좋다!
g_070,야 공부 얘기 좀 하자ㅋㅋ ㅋㅋ 대박이지 같이 보러 가자 오케이 몇 시에? 오늘 저녁 어때? 그럼 연락하자~
g_071,야 학교 얘기 좀 하자ㅋㅋ 응 완전 좋더라ㅋㅋ 시간 나면 놀자! 콜ㅋㅋ 오늘 저녁 어때? 그럼 연락하자~
g_072,야 가족 얘기 좀 하자ㅋㅋ ㅋㅋ 대박이지 근처 카페 갈래? 좋지 요즘 너무 바빴는데 딱이야 오늘 저녁 어때? 오랜만이라 좋다!
g_073,야 식사 얘기 좀 하자ㅋㅋ ㅋㅋ 대박이지 같이 보러 가자 좋아 나도 심심했어 주말에 보자! 알았어 기다릴게!
g_074,야 식사 얘기 좀 하자ㅋㅋ 응 완전 좋더라ㅋㅋ 시간 나면 놀자! 좋아 나도 심심했어 오늘 저녁 어때? 그럼 연락하자~
g_075,야 취미 얘기 좀 하자ㅋㅋ 맞아 나도 그렇게 생각해 근처 카페 갈래? 좋지 요즘 너무 바빴는데 딱이야 카톡 줘 일정 맞춰보자 그럼 연락하자~
g_076,야 운동 얘기 좀 하자ㅋㅋ 그치 요즘 진짜 좋지 사진 찍으러 갈까? 오케이 몇 시에? 그럼 내일 보자~ 오랜만이라 좋다!
g_077,야 반려동물 얘기 좀 하자ㅋㅋ ㅋㅋ 대박이지 사진 찍으러 갈까? 오케이 몇 시에? 그럼 내일 보자~ 그럼 연락하자~
g_078,야 음악 얘기 좀 하자ㅋㅋ 응 완전 좋더라ㅋㅋ 사진 찍으러 갈까? 오케이 몇 시에? 그럼 내일 보자~ 알았어 기다릴게!
g_079,야 음악 얘기 좀 하자ㅋㅋ ㅋㅋ 대박이지 사진 찍으러 갈까? 콜ㅋㅋ 주말에 보자! 좋아 기대된다ㅋㅋ
g_080,야 산책 얘기 좀 하자ㅋㅋ 맞아 나도 그렇게 생각해 같이 보러 가자 좋지 요즘 너무 바빴는데 딱이야 오늘 저녁 어때? 좋아 기대된다ㅋㅋ
g_081,야 여행 얘기 좀 하자ㅋㅋ 맞아 나도 그렇게 생각해 근처 카페 갈래? 콜ㅋㅋ 오늘 저녁 어때? 좋아 기대된다ㅋㅋ
g_082,야 산책 얘기 좀 하자ㅋㅋ ㅋㅋ 대박이지 근처 카페 갈래? 오케이 몇 시에? 오늘 저녁 어때? 오랜만이라 좋다!
